x, y
-336.2886597938144, 9.673913043478262
-336.2886597938144, 9.673913043478262
-318.1443298969072, 9.384057971014492
-307.0103092783505, 9.565217391304348
-307.0103092783505, 9.565217391304348
-292.16494845360825, 9.565217391304348
-292.16494845360825, 9.565217391304348
-287.21649484536084, 9.420289855072463
-281.8556701030928, 9.565217391304348
-281.8556701030928, 9.565217391304348
-276.08247422680415, 9.746376811594203
-276.08247422680415, 9.746376811594203
-270.30927835051546, 9.456521739130435
-270.30927835051546, 9.456521739130435
-263.7113402061856, 9.23913043478261
-263.7113402061856, 9.23913043478261
-257.9381443298969, 9.166666666666666
-251.75257731958763, 9.057971014492754
-245.15463917525773, 9.057971014492754
-242.68041237113403, 9.31159420289855
-236.49484536082474, 8.985507246376812
-229.89690721649487, 8.804347826086957
-224.94845360824743, 8.659420289855072
-217.11340206185568, 8.659420289855072
-209.27835051546393, 8.659420289855072
-207.62886597938143, 8.840579710144928
-200.61855670103094, 8.405797101449275
-200.61855670103094, 8.405797101449275
-197.31958762886597, 8.58695652173913
-192.7835051546392, 8.22463768115942
-186.18556701030928, 8.043478260869565
-176.70103092783506, 7.681159420289855
-168.4536082474227, 7.173913043478261
-162.2680412371134, 6.77536231884058
-154.02061855670104, 6.268115942028985
-149.89690721649487, 5.869565217391304
-141.64948453608247, 5.36231884057971
-133.81443298969074, 4.601449275362318
-128.4536082474227, 3.913043478260869
-122.26804123711341, 3.1521739130434776
-118.96907216494847, 2.8260869565217392
-110.7216494845361, 2.753623188405797
-107.83505154639175, 2.5724637681159415
-101.6494845360825, 2.6811594202898545
-96.28865979381445, 2.753623188405797
-89.27835051546393, 2.5724637681159415
-88.4536082474227, 3.2608695652173907
-85.56701030927837, 2.5
-81.44329896907217, 2.246376811594202
-74.84536082474227, 1.9927536231884062
-62.47422680412373, 1.9565217391304337
-52.16494845360825, 1.920289855072463
-45.56701030927837, 1.8115942028985508
-39.79381443298968, 0.8333333333333321
-38.14432989690721, 1.4130434782608692
-35.670103092783506, 0.43478260869565233
-34.43298969072168, 1.4855072463768106
-31.546391752577335, 1.2318840579710137
-27.01030927835052, 1.5217391304347831
-25.773195876288696, 2.3550724637681153
-20.824742268041234, 2.391304347826087
-17.11340206185571, 2.5724637681159415
